des,orbit_id,jd,cd,dist,dist_min,dist_max,v_rel,v_inf,t_sigma_f,h
2024 GV3,2,2460413.984452527,2024-Apr-13 11:38,0.00341187828032717,0.00340164070644227,0.00342211501541748,10.9317272415092,10.8600541579076,< 00:01,28.62
2009 HD,24,2460414.151304658,2024-Apr-13 15:38,0.0802521051195859,0.0802518120320596,0.0802523982081296,10.0233716052309,10.0200586629491,< 00:01,22.92
2024 FP3,7,2460414.220952725,2024-Apr-13 17:18,0.0068201883836276,0.00680474140360267,0.00683227456101483,6.34015905798594,6.27823750930886,< 00:01,26.09
2024 GE3,4,2460414.370815474,2024-Apr-13 20:54,0.0254752431754124,0.0253127505620986,0.0256377276967888,7.34601334990832,7.33176174462734,< 00:01,26.08
2024 GG6,3,2460414.441388743,2024-Apr-13 22:36,0.0225327142264181,0.0224703926785229,0.0225950350675913,10.5142530915593,10.5030004916013,< 00:01,25.26
2024 GA1,12,2460414.582836967,2024-Apr-14 01:59,0.0243506493441508,0.0242681856427865,0.0244331126723197,18.1177740184827,18.1117335673621,< 00:01,24.11
2024 GN,5,2460414.676165144,2024-Apr-14 04:14,0.08716034324947,0.0866774750151082,0.0876432077866563,9.279167791557,9.27587274531996,00:01,24.52
2024 GB3,3,2460414.687596364,2024-Apr-14 04:30,0.0501002629630716,0.0496267951508193,0.0505737275257957,17.1259691642071,17.1228634851481,< 00:01,24.47
2023 FN13,13,2460414.955934547,2024-Apr-14 10:57,0.00850723289280149,0.00850693240612855,0.00850753337890284,4.90390041831799,4.83961114371603,< 00:01,27.21
2024 HX,1,2460415.187601132,2024-Apr-14 16:30,0.00142210583976911,0.00142058809159815,0.00142362347725878,9.64160982554437,9.44528503104168,< 00:01,27.38
2022 UO1,3,2460415.209558446,2024-Apr-14 17:02,0.0428064225559046,0.0261508201690997,0.0803104973364482,14.0410048681273,14.0365710915229,1_20:56,25.19
